city,lat,lng
Paris,48.866667,2.333333
Lyon,45.748457,4.846711
Marseille,43.285413,5.37606
Lille,50.632971,3.058585
Nice,43.713644,7.25952
Toulouse,43.599516,1.433188
Bordeaux,44.840439,-0.5805
Rouen,49.433333,1.083333
Strasbourg,48.600381,7.787355
Nantes,47.216509,-1.552379
Metz,49.115461,6.175875
Grenoble,45.171546,5.722387
Toulon,43.117705,5.941712
Montpellier,43.61092,3.87723
Nancy,48.69211,6.187756
Saint-Étienne,45.435382,4.391051
Melun,48.545699,2.653562
Le Havre,49.5,0.133333
Tours,47.394836,0.703977
Clermont-Ferrand,45.779657,3.086281
Orléans,47.902891,1.903887
Mulhouse,47.738082,7.347932
Rennes,48.111981,-1.674291
Reims,49.25,4.033333
Caen,49.197188,-0.326822
Angers,47.473806,-0.54774
Dijon,47.316667,5.016667
Nîmes,43.833778,4.359623
Limoges,45.831534,1.257805
Aix-en-Provence,43.528695,5.448791
Perpignan,42.696172,2.897098
Biarritz,43.480119,-1.555581
Brest,48.390756,-4.486165
Le Mans,48.000386,0.204709
Amiens,49.9,2.3
Besançon,47.248778,6.018152
Annecy,45.906206,6.126699
Calais,50.951241,1.85899
Poitiers,46.583333,0.333333
Versailles,48.803593,2.134236
Kerbrient,47.730294,-3.410806
Béziers,43.345287,3.222374
La Rochelle,46.166667,-1.15
Roanne,46.043291,4.068553
Bourges,47.083333,2.4
Arras,50.291799,2.780306
Troyes,48.300727,4.085244
Cherbourg,49.639971,-1.615505
Agen,44.199912,0.626641
Tarbes,43.233334,0.083333
Ajaccio,41.927226,8.734619
Saint-Brieuc,48.510504,-2.765927
Nevers,46.991203,3.157084
Vichy,46.128264,3.423472
Dieppe,49.920403,1.086542
Auxerre,47.7996,3.57033
Bastia,42.702778,9.45
Châlons-en-Champagne,48.953926,4.367238
